,timestamp,altitude,altitude_final,acc_x,acc_x_filtered,acc_y,acc_y_filtered,acc_z,acc_z_filtered,gyro_x,gyro_x_filtered,gyro_y,gyro_y_filtered,gyro_z,gyro_z_filtered,state,ground_truth,floor,prediction
0,0.11148882,10.359539,10.359539,-0.2746582,0.059325676,-0.32531738,0.10486126,9.866943,9.900876,0.0026631611,0.0026601027,0.005592638,-0.0019851602,-0.037816886,0.012099146,0,0,0,5.270757
1,0.2143879,10.4431,10.363164,-0.6536865,-0.012722135,0.13122559,0.0052252477,9.632568,9.865127,0.011185276,0.0021150054,0.0018642128,-0.00081491016,-0.024767399,0.0021286125,0,0,0,5.270757
2,0.3119979,10.359539,10.363386,-0.2758789,-0.012510163,-0.044555664,-0.0072944905,10.004883,9.859173,0.007190535,0.0027405708,-0.0015978967,-0.00045898822,-0.015446334,-0.00023499929,0,0,0,5.270757
3,0.41634202,10.10886,10.363639,-0.0024414062,0.0025263254,0.15686035,0.029509027,9.506836,9.890077,0.004261058,0.0034394264,-0.0037284256,-0.0005865384,0.002130529,-0.00016908634,0,0,0,5.270757
4,0.51212883,10.359539,10.363886,0.05859375,0.015149251,0.2154541,0.064968,9.916382,9.921556,-0.0005326322,0.0037560703,-0.0015978967,-0.00058905827,0.009321064,0.0003813824,0,0,0,5.270757
5,0.61204123,10.192421,10.364159,0.037841797,0.0025321068,0.19042969,0.08615804,10.12146,9.907713,-0.002130529,0.003700511,0.002130529,-0.00024986893,0.007456851,0.00073767867,0,0,0,5.270757
6,0.71204424,10.359539,10.364449,0.5175781,0.011284399,-0.18188477,0.10614159,9.473877,9.873909,0.005060006,0.0033424294,0.00079894834,-7.568298E-05,0.0045273737,0.0010534478,0,0,0,5.270757
7,0.8160238,10.359539,10.364769,0.29418945,0.037056446,-0.3540039,0.10051084,9.682617,9.868013,0.010652645,0.0031167115,0.0013315806,-0.00013795524,-0.012516857,0.001015484,0,0,0,5.270757
8,0.9159517,9.941746,10.365098,-0.026855469,0.055254117,0.24047852,0.047060907,9.53064,9.897673,0.007190535,0.003091359,-0.0015978967,-0.00049917836,-0.010386328,0.0006373661,0,0,0,5.270757
9,1.0159168,10.526661,10.365447,-0.7318115,0.052423175,0.111694336,0.017461572,10.032349,9.91233,0.0061252704,0.0030058345,-0.0037284256,-0.0009501494,-0.00079894834,0.000369266,0,0,0,5.270757
